Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
1240,Subnautica: Below Zero,PC,N/A,Action-Adventure,Unknown  ,Unknown Worlds Entertainment  ,,,,,,,
1241,Subnautica: Below Zero,PS4,N/A,Action-Adventure,Unknown  ,Unknown Worlds Entertainment  ,,,,,,,
1242,Subnautica: Below Zero,PS5,N/A,Action-Adventure,Unknown  ,Unknown Worlds Entertainment  ,,,,,,,
1243,Summer in Mara,PS4,N/A,Action-Adventure,Unknown  ,Chibig  ,,,,,,,
1244,Summer in Mara,PC,N/A,Action-Adventure,Unknown  ,Chibig  ,,,,,,,
1245,Summer in Mara,NS,N/A,Action-Adventure,Unknown  ,Chibig  ,,,,,,,
1246,Summer in Mara,XOne,N/A,Action-Adventure,Unknown  ,Chibig  ,,,,,,,
1247,Super Daryl Deluxe,PC,N/A,Action-Adventure,Unknown  ,Dan & Gary Games  ,,,,,,,
1248,Super Daryl Deluxe,PS4,N/A,Action-Adventure,Unknown  ,Dan & Gary Games  ,,,,,,,
1249,Super Kirby Clash,NS,2019,Action-Adventure,Nintendo  ,HAL Laboratory  ,,,,,,,
1250,Survival Machine,PC,N/A,Action-Adventure,Unknown  , Grapes Pickers  ,,,,,,,
1251,System Shock 3,PC,N/A,Action-Adventure,Unknown  ,OtherSide Entertainment  ,,,,,,,
1252,Tamarin,PC,N/A,Action-Adventure,Unknown  ,Chameleon Games  ,,,,,,,
1253,Tamarin,PS4,N/A,Action-Adventure,Unknown  ,Chameleon Games  ,,,,,,,
1254,TASOMACHI: Behind the Twilight,NS,N/A,Action-Adventure,Unknown  ,Orbital Express  ,,,,,,,
1255,TASOMACHI: Behind the Twilight,PC,N/A,Action-Adventure,Unknown  ,Orbital Express  ,,,,,,,
1256,TASOMACHI: Behind the Twilight,PS4,N/A,Action-Adventure,Unknown  ,Orbital Express  ,,,,,,,
1257,TASOMACHI: Behind the Twilight,XOne,N/A,Action-Adventure,Unknown  ,Orbital Express  ,,,,,,,
1258,Terraria,NS,2019,Action-Adventure,505 Games  ,Re-Logic  ,,,,,,,
1259,The Amazing Spider-Man (2012),iOS,N/A,Action-Adventure,Unknown  ,Gameloft  ,,,,,,,
1260,The Aquatic Adventure of the Last Human,PC,2016,Action-Adventure,YCJY  ,YCJY  ,,,,,,,
1261,The Aquatic Adventure of the Last Human,XOne,2018,Action-Adventure,Digerati  ,YCJY  ,,,,,,,
1262,The Aquatic Adventure of the Last Human,PS4,2018,Action-Adventure,Digerati  ,YCJY  ,,,,,,,
1263,The Aquatic Adventure of the Last Human,NS,2019,Action-Adventure,Digerati  ,YCJY  ,,,,,,,
1264,The Blackout Club,XOne,N/A,Action-Adventure,Unknown  ,Question  ,,,,,,,
1265,The Blackout Club,PC,N/A,Action-Adventure,Unknown  ,Question  ,,,,,,,
1266,The Church in the Darkness,PC,2019,Action-Adventure,Paranoid Productions  ,Paranoid Productions  ,,,,,,,
1267,The Church in the Darkness,PS4,2019,Action-Adventure,Paranoid Productions  ,Paranoid Productions  ,,,,,,,
