Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
226,Dragon Ball: Raging Blast,PS3,2009,Fighting,Namco Bandai  ,Spike  ,5.6,,0.37,0.19,0.11,0.1,0.77
227,Persona 4 Arena,PS3,2012,Fighting,Atlus  ,Arc System Works  ,,,0.32,0.12,0.24,0.08,0.77
228,MTV Celebrity Deathmatch,PS2,2003,Fighting,Gotham Games  ,Big Ape Productions  ,,,0.37,0.29,,0.1,0.76
229,Street Fighter Alpha: Warriors' Dreams,PS,1995,Fighting,Capcom  ,Capcom  ,,,0.17,0.11,0.43,0.05,0.76
230,Mortal Kombat: Deception,XB,2004,Fighting,Midway Games  ,Midway Games  ,7.4,,0.61,0.12,,0.03,0.76
231,Marvel vs. Capcom 2,PS2,2002,Fighting,Capcom  ,Capcom  ,8.2,,0.31,0.24,0.13,0.08,0.76
232,Legends of Wrestling,PS2,2001,Fighting,Acclaim Entertainment  ,Acclaim Studios Salt Lake City  ,,,0.37,0.29,,0.1,0.76
233,WWE SmackDown vs. Raw 2009,PSP,2008,Fighting,THQ  ,Yuke's Media Creations  ,7.9,,0.41,0.2,,0.14,0.75
234,Super Street Fighter IV,X360,2010,Fighting,Capcom  ,Capcom / Dimps Corporation  ,9.2,,0.53,0.21,0.07,0.07,0.88
235,Street Fighter EX Plus Alpha,PS,1997,Fighting,Capcom  ,Arika  ,,,0.28,0.19,0.23,0.05,0.75
236,Capcom vs. SNK 2: Mark of the Millennium 2001,PS2,2001,Fighting,Capcom  ,Capcom  ,7.9,,0.22,0.17,0.3,0.06,0.75
237,Jump Ultimate Stars,DS,2006,Fighting,Nintendo  ,Ganbarion  ,,,,,0.74,,0.74
238,Mortal Kombat: Unchained,PSP,2006,Fighting,Midway Games  ,JGI Entertainment  ,7.0,,0.67,0.01,,0.06,0.74
239,Super Street Fighter IV: Arcade Edition,PS3,2011,Fighting,Capcom  ,Capcom / Dimps Corporation  ,8.1,,0.15,0.05,0.17,0.02,0.38
240,Naruto Shippuden: Ultimate Ninja Storm Generations,PS3,2012,Fighting,Namco Bandai Games  ,CyberConnect2  ,,,0.27,0.25,0.14,0.09,0.74
241,Dragon Ball Z: Ultime Menace,SNES,1994,Fighting,Bandai  ,TOSE  ,,,,,0.73,,0.73
242,WWE SmackDown vs. Raw 2010,Wii,2009,Fighting,THQ  ,JAKKS Pacific  ,7.8,,0.49,0.17,,0.06,0.73
243,Dragon Ball Z: Burst Limit,All,2008,Fighting,Atari  ,Dimps Corporation  ,,,,,,,
244,Mortal Kombat 4,N64,1998,Fighting,Midway Games  ,Eurocom Entertainment Software  ,,,0.55,0.17,,0.01,0.73
245,X-Men: Mutant Academy 2,PS,2001,Fighting,Activision  ,Paradox Development  ,,,0.4,0.27,,0.05,0.72
246,Mortal Kombat (2011),PSV,2012,Fighting,Warner Bros. Interactive Entertainment  ,NetherRealm Studios  ,8.8,,0.42,0.15,,0.15,0.71
247,Virtua Fighter 4: Evolution,PS2,2003,Fighting,Sega  ,Sega-AM2  ,8.9,,0.35,0.27,,0.09,0.71
248,SoulCalibur VI,PS4,2018,Fighting,Bandai Namco Games  ,Project Soul  ,,,0.44,0.11,0.04,0.12,0.71
249,Godzilla: Destroy All Monsters Melee,GC,2002,Fighting,Atari  ,"Pipeworks Software, Inc.  ",7.5,,0.55,0.14,,0.02,0.71
250,WWF Attitude,N64,1999,Fighting,Acclaim Entertainment  ,Iguana Entertainment  ,,,0.57,0.13,,0.01,0.71
251,Battle Arena Toshinden 2,PS,1996,Fighting,Playmates  ,Tamsoft  ,,,0.15,0.1,0.41,0.05,0.71
252,WWE SmackDown vs. Raw 2011,PSP,2010,Fighting,THQ  ,JAKKS Pacific  ,,,0.22,0.31,,0.17,0.7
253,Dragon Ball Z: Ultimate Tenkaichi,All,2011,Fighting,Bandai  ,Spike  ,,,,,,,
254,Dragon Ball: Raging Blast,All,2009,Fighting,Bandai  ,Spike  ,,,,,,,
255,Marvel vs. Capcom: Infinite,PS4,2017,Fighting,Capcom  ,Capcom  ,,,0.36,0.19,0.04,0.11,0.7
256,Naruto: Ultimate Ninja 2,PS2,2008,Fighting,Namco Bandai Games  ,CyberConnect2  ,,,0.47,0.02,,0.08,0.57
257,Dragon Ball Z: Budokai,GC,2003,Fighting,Atari  ,Pyramid  ,6.8,,0.53,0.14,,0.02,0.69
258,Naruto: Clash of Ninja,GC,2006,Fighting,D3 Publisher  ,Tomy  ,,,0.53,0.14,,0.02,0.68
259,Bushido Blade 2,PS,1998,Fighting,Square EA  ,Light Weight  ,7.5,,0.25,0.17,0.22,0.04,0.68
260,Fight Night 2004,XB,2004,Fighting,EA Sports  ,EA Canada  ,,,0.51,0.15,,0.02,0.68
261,One Finger Death Punch,PC,2014,Fighting,Silver Dollar Games  ,Silver Dollar Games  ,,8.0,,,,,
262,Naruto Shippuden: Ultimate Ninja Storm 3 Full Burst HD,PC,N/A,Fighting,Unknown  ,CyberConnect2  ,,,,,,,
263,Fight Night Round 2004,XB,2004,Fighting,EA Sports  ,EA Sports  ,,,0.46,0.18,,0.03,0.67
264,WWE SmackDown vs. RAW 2007,PSP,2006,Fighting,THQ  ,Yuke's  ,7.8,,0.33,0.2,,0.14,0.66
265,Street Fighter Anniversary Collection,PS2,2004,Fighting,Capcom  ,Capcom  ,,,0.32,0.25,,0.08,0.66
266,Dead or Alive 5,PS3,2015,Fighting,Tecmo Koei  ,Team Ninja  ,7.6,,0.23,0.15,0.21,0.07,0.65
267,Naruto: Ultimate Ninja,PS2,2008,Fighting,Namco Bandai Games  ,CyberConnect2  ,,,0.5,0.02,,0.08,0.61
268,One Piece: Burning Blood,PS4,2016,Fighting,Namco Bandai Games  ,Spike Chunsoft  ,,,0.21,0.26,0.09,0.09,0.65
269,Dragon Ball: Raging Blast 2,X360,2010,Fighting,Namco Bandai  ,Spike  ,6.0,,0.49,0.09,0.01,0.05,0.64
270,Mobile Suit Z Gundam: AEUG vs. Titans,PS2,2003,Fighting,Bandai  ,Bandai  ,,,,,0.63,,0.63
271,WWF in Your House,PS,1996,Fighting,Acclaim Entertainment  ,"Sculptured Software, Inc.  ",,,0.35,0.24,,0.04,0.62
272,Dragon Ball Z: Battle of Z,All,2014,Fighting,Bandai  ,ArtDink  ,,,,,,,
273,Fighters MEGAMiX,SAT,1997,Fighting,Sega  ,Sega-AM2  ,,,,,0.62,,0.62
274,Dragon Ball Z: Ultimate Tenkaichi,PS3,2011,Fighting,Namco Bandai  ,Spike  ,5.0,,0.27,0.18,0.09,0.07,0.62
275,WWE SmackDown vs. Raw 2010,PSP,2009,Fighting,THQ  ,Yuke's  ,,,0.25,0.23,,0.14,0.61
276,Backyard Wrestling: Don't Try This at Home,PS2,2003,Fighting,Eidos Interactive  ,Paradox Development  ,6.0,,0.3,0.23,,0.08,0.6
277,Fight Night Round 2,XB,2005,Fighting,EA Sports  ,EA Sports  ,,,0.42,0.16,,0.02,0.6
278,Fighters Uncaged,X360,2010,Fighting,Ubisoft  ,AMA Studios  ,3.2,,0.31,0.23,,0.06,0.6
279,From TV Animation One Piece: Grand Battle 2,PS,2002,Fighting,Bandai  ,Bandai  ,,,,,0.56,0.04,0.6
280,The Fight: Lights Out,PS3,2010,Fighting,Sony Computer Entertainment  ,ColdWood Interactive  ,4.7,,0.29,0.21,,0.09,0.59
281,SoulCalibur V,X360,2012,Fighting,Namco Bandai  ,Project Soul  ,,,0.39,0.13,0.02,0.05,0.59
282,Tekken 7,XOne,2017,Fighting,Namco Bandai Games  ,Namco Bandai Games  ,,,0.3,0.23,,0.05,0.58
283,Dragon Ball: Raging Blast 2,All,2010,Fighting,Bandai  ,Spike  ,,,,,,,
284,BlazBlue: Calamity Trigger,PS3,2009,Fighting,Aksys Games  ,Arc System Works  ,8.5,,0.36,0.1,0.06,0.06,0.57
285,Ultra Street Fighter II: The Final Challengers,NS,2017,Fighting,Capcom  ,Capcom  ,7.0,,0.22,0.22,0.09,0.04,0.57
