Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
2312,Millennium Man,XBL,2011,Platform,Microsoft  ,Fixed-Point Consulting LLC  ,,,,,,,
2313,Milon's Secret Castle,VC,2007,Platform,Hudson Soft  ,Hudson Soft  ,,,,,,,
2314,Milon's Secret Castle,GB,1993,Platform,Hudson Soft  ,Hudson Soft  ,,,,,,,
2315,Milon's Secret Castle,NES,1988,Platform,Hudson Soft  ,Hudson Soft  ,,,,,,,
2316,Milon's Secret Castle,DS,N/A,Platform,Unknown  ,Hudson Soft  ,,,,,,,
2317,Miner 2049er,GB,1992,Platform,Big Five Software  ,Big Five Software  ,,,,,,,
2318,Miner 2049er,2600,1983,Platform,Tigervision  ,Tigervision  ,,,,,,,
2319,Miner 2049er,PC,1983,Platform,Unknown  ,Big Five Software  ,,,,,,,
2320,Miner 2049er,5200,1983,Platform,Big Five Software  ,Big Five Software  ,,,,,,,
2321,Miner 2049er Volume II,2600,1983,Platform,Tigervision  ,Tigervision  ,,,,,,,
2322,Minna de Spelunker Black,PSN,2010,Platform,Irem Software Engineering  ,Irem Software Engineering  ,,,,,,,
2323,Miracle Adventure,NG,1994,Platform,SNK  ,Data East  ,,,,,,,
2324,Mister Rogers the Video Game,PC,N/A,Platform,Unknown  ,SM64Guy  ,,,,,,,
2325,Mohawk and Headphone Jack,SNES,1996,Platform,Black Pearl  ,Solid Software  ,,,,,,,
2326,Momodora III,PC,2014,Platform,rdein  ,Bombservice  ,,,,,,,
2327,Monster in My Pocket,NES,1992,Platform,Konami  ,Konami  ,,,,,,,
2328,Monster Lair,VC,2007,Platform,Nintendo  ,Alfa System  ,,,,,,,
2329,Monster Lair,PCE,1989,Platform,NEC  ,Alfa System  ,,,,,,,
2330,Monster Party,NES,1989,Platform,Bandai  ,Bandai  ,,,,,,,
2331,Monster World IV,GEN,1994,Platform,Sega  ,Westone Bit Entertainment  ,,,,,,,
2332,Monsters (Probably) Stole My Princess!,PSN,2010,Platform,Mediatonic  ,Mediatonic Ltd.  ,8.4,9.0,,,,,
2333,Monsters (Probably) Stole My Princess!,XBL,2010,Platform,Microsoft  ,Mediatonic Ltd.  ,,,,,,,
2334,"Monsters, Inc. Scream Team",PSN,2011,Platform,Sony Computer Entertainment  ,Artificial Mind and Movement  ,,,,,,,
2335,Monty on the Run,ACPC,1985,Platform,Gremlin Graphics  ,Unknown  ,,,,,,,
2336,Mr Bean,PS2,2007,Platform,Blast! Entertainment Ltd  ,Beyond Reality  ,,,,,,,
2337,Mr Nutz,GBA,2001,Platform,Infogrames  ,Dream On  ,,,,,,,
2338,Mr. Bones,SAT,1996,Platform,Sega  ,Zono Inc.  ,,,,,,,
2339,Mr. Gimmick,NES,1993,Platform,Sunsoft  ,Authentic Entertainment  ,,,,,,,
2340,Mr. Nutz,GB,1994,Platform,Ocean  ,Ocean  ,,,,,,,
2341,Mr. Nutz,GBC,1999,Platform,Infogrames  ,Planet Interactive  ,,,,,,,
2342,Mr. Nutz,GEN,1994,Platform,Ocean  ,Ocean  ,,,,,,,
2343,Mr. Nutz,SNES,1994,Platform,Ocean  ,Ocean  ,,,,,,,
2344,Mr. Nutz (GBC),GB,1999,Platform,Infogrames  ,Planet Interactive  ,,,,,,,
2345,Mr. Robot,PC,2007,Platform,Moonpod  ,Moonpod  ,,,,,,,
2346,Ms. 'Splosion Man,WinP,2013,Platform,Microsoft Studios  ,Twisted Pixel Games  ,,,,,,,
2347,Ms. 'Splosion Man,XBL,2011,Platform,Twisted Pixel Games  ,Twisted Pixel Games  ,8.4,,,,,,
2348,Ms. 'Splosion Man,PC,2013,Platform,Microsoft Studios  ,Twisted Pixel Games  ,,,,,,,
2349,Mugen Senshi Valis,PSN,2010,Platform,Hudson Soft  ,Nippon Telenet  ,,,,,,,
2350,Mugen Senshi Valis,PCE,1992,Platform,Nippon Telenet  ,Nippon Telenet  ,,,,,,,
2351,Murasaki Baby,PSV,2014,Platform,Sony Computer Entertainment  ,Ovosonico  ,,,,,,,
2352,Mushroom Men: Truffle Trouble,PC,2015,Platform,Red Fly Studio  ,Red Fly Studio  ,,,,,,,
2353,Mutant Mudds,3DS,2012,Platform,Nintendo  ,Renegade Kid  ,,,,,,,
2354,Mystery Quest,NES,1989,Platform,Taxan  ,Carry Lab.  ,,,,,,,
2355,Mystic Defender,GEN,1989,Platform,Sega  ,Sega  ,,,,,,,
2356,N+,XBL,2008,Platform,Metanet Software Inc.  ,Slick Entertainment  ,,,,,,,
2357,Naruto: Ninja Council 2,GBA,2006,Platform,D3 Publisher  ,Aspect  ,,,,,,,
