Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
168,London Detective Mysteria,PSV,2018,Visual+Novel,Xseed Games  ,Karin Entertainment  ,,,,,0.01,,0.01
169,AKB1/48: Idol to Guam de Koishitara...,X360,2011,Visual+Novel,Bandai Namco Games  ,Bandai Namco Games  ,,,,,0.01,,0.01
170,Hakuoki: Reimeiroku DS,DS,2012,Visual+Novel,Idea Factory  ,Idea Factory  ,,,,,0.01,,0.01
171,Root Double: Before Crime * After Days,X360,2012,Visual+Novel,Yeti  ,Yeti  ,,,,,0.01,,0.01
172,Gakuen Hetalia,DS,2012,Visual+Novel,Idea Factory  ,Idea Factory  ,,,,,0.01,,0.01
173,Chaos;Child: Love Chu Chu!!,PSV,2017,Visual+Novel,5pb  ,5pb. Inc.  ,,,,,0.01,,0.01
174,Doukoku Soshite... Doukoku Soshite...,PS4,2018,Visual+Novel,El Dia  ,El Dia  ,,,,,0.01,,0.01
175,Tokimeki Restaurant: Project Tristars,PSV,2018,Visual+Novel,KOEI  ,Ruby Party  ,,,,,0.01,,0.01
176,Akatsuki no Goei Trinity,PS3,2012,Visual+Novel,5pb  ,Syangrila  ,,,,,0.01,,0.01
177,Onigokko! Portable,PSP,2013,Visual+Novel,Alchemist  ,Alcot  ,,,,,0.01,,0.01
178,Hyakki Yagyou Kaidan Romance,PSP,2012,Visual+Novel,Quinrose  ,QuinRose  ,,,,,0.01,,0.01
179,"Tengai ni Mau, Iki na Hana",PSV,2018,Visual+Novel,Idea Factory  ,Idea Factory  ,,,,,0.01,,0.01
180,The Fruit of Grisaia,PSP,2013,Visual+Novel,Prototype  ,Front Wing  ,,,,,0.01,,0.01
181,To Heart 2: Another Days,PSP,2009,Visual+Novel,Aqua Plus  ,Aqua Plus  ,,,,,0.01,,0.01
182,Chou no Doku: Hana no Kusari - Taishou Tsuyakoi Ibun,PSP,2014,Visual+Novel,Prototype  ,Prototype  ,,,,,0.01,,0.01
183,Disorder 6,PS3,2013,Visual+Novel,5pb  ,MAGES. Inc.  ,,,,,0.01,,0.01
184,Koezaru wa Akai Hana: Taiga wa Mirai o Tsugumu,PSP,2014,Visual+Novel,Dramatic Create  ,Operetta Due  ,,,,,0.01,,0.01
185,Memories Off 6: Next Relation,PSP,2010,Visual+Novel,5pb  ,5pb. Games  ,,,,,0.01,,0.01
186,Chaos;Child: Love Chu Chu!!,PS4,2017,Visual+Novel,5pb  ,5pb. Inc.  ,,,,,0.01,,0.01
187,Makai Ouji: Devils and Realist - Dairiou no Hihou,3DS,2013,Visual+Novel,Namco Bandai Games  ,Bandai Namco Games  ,,,,,0.01,,0.01
188,Doukoku Soshite... Doukoku Soshite...,PSV,2018,Visual+Novel,El Dia  ,El Dia  ,,,,,0.01,,0.01
189,VA-11 HALL-A,PSV,2017,Visual+Novel,Wolfgame  ,Sukeban Games  ,,,,,0.01,,0.01
190,Desert Kingdom Portable,PSP,2013,Visual+Novel,Idea Factory  ,Design Factory  ,,,,,0.01,,0.01
191,"Iza, Shutshjin! Koisen Dai-ni-maku",PSP,2014,Visual+Novel,Asgard  ,"GignoSystem Japan, Inc.  ",,,,,0.01,,0.01
192,Steins;Gate Elite,PSV,2018,Visual+Novel,5pb  ,5pb. Inc.  ,,,,,0.01,,0.01
193,Clannad,PSV,2014,Visual+Novel,Prototype  ,Prototype  ,,,,,0.01,,0.01
194,Yoshiwara Higanbana Kuon no Chigiri,PSV,2017,Visual+Novel,Prototype  ,Prototype  ,,,,,0.01,,0.01
195,Vitamin X: Destination,PSV,2018,Visual+Novel,D3Publisher  ,HuneX  ,,,,,0.01,,0.01
196,Grisaia Phantom Trigger 03 & 04,PSV,2018,Visual+Novel,Prototype  ,Prototype  ,,,,,0.01,,0.01
197,Maitetsu: Pure Station,PS4,2018,Visual+Novel,Yeti  ,Lose  ,,,,,0.01,,0.01
198,Eiyuu * Senki,PSV,2014,Visual+Novel,5pb  ,Tenco  ,,,,,0.01,,0.01
199,Phantom: Phantom of Inferno,X360,2012,Visual+Novel,Digiturbo  ,Nitro+  ,,,,,0.01,,0.01
200,Memories Off: Innocent File,PS4,2018,Visual+Novel,MAGES  ,5pb. Games  ,,,,,0.01,,0.01
201,School Wars,PSP,2012,Visual+Novel,Quinrose  ,QuinRose  ,,,,,0.01,,0.01
202,Flowers: Le volume sur hiver,PSV,2018,Visual+Novel,Prototype  ,Prototype  ,,,,,0.01,,0.01
203,Kuroyukihime: Snow Black,PSP,2014,Visual+Novel,Quinrose  ,QuinRose  ,,,,,0.01,,0.01
