Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
620,P.T.O. IV: Pacific Theater of Operations,PS2,2003,Strategy,KOEI  ,Koei  ,,,0.04,0.03,,0.01,0.08
621,Tears to Tiara: Kakan no Daichi,PS3,2008,Strategy,Aquaplus  ,Aquaplus  ,,,,,0.08,,0.08
622,Culdcept Revolt,3DS,2017,Strategy,NIS America  ,OmiyaSoft  ,7.3,,,,0.07,,0.07
623,The Banner Saga Trilogy - Bonus Edition,PS4,2018,Strategy,505 Games  ,Stoic Studio  ,,,0.06,,,0.01,0.07
624,Gladius,GC,2003,Strategy,LucasArts  ,LucasArts  ,8.3,,0.06,0.01,,0.0,0.07
625,Constructor HD,XOne,2017,Strategy,Deep Silver  ,System 3  ,,,0.07,,,0.01,0.07
626,Kessen III,PS2,2005,Strategy,KOEI  ,Koei  ,,,0.04,0.03,,0.01,0.07
627,Super Robot Wars X,PSV,2018,Strategy,Bandai Namco Games  ,Bandai Namco  ,,,,,0.07,,0.07
628,Wrath Unleashed,PS2,2004,Strategy,LucasArts  ,Double Helix Games  ,,,0.04,0.03,,0.01,0.07
629,Commandos 2: Men of Courage,XB,2002,Strategy,Eidos Interactive  ,Pyro Studios  ,,,0.05,0.02,,0.0,0.07
630,SD Gundam: Gashapon Wars,GC,2005,Strategy,Bandai  ,Bec  ,,,,,0.07,0.0,0.07
631,Romance of the Three Kingdoms XI,PS2,2007,Strategy,KOEI  ,Koei  ,,,,,0.07,,0.07
632,Elements of Destruction,DS,2007,Strategy,THQ  ,Black Lantern Studios  ,,,0.07,,,0.01,0.07
633,Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui V,PS2,2009,Strategy,Namco Bandai  ,Bec  ,,,,,0.07,,0.07
634,Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui V,PSP,2009,Strategy,Namco Bandai  ,Bec  ,,,,,0.07,,0.07
635,Robocalypse,DS,2008,Strategy,Tecmo  ,Vogster Entertainment  ,,,0.07,,,0.01,0.07
636,Romance of the Three Kingdoms IX,PS2,2004,Strategy,KOEI  ,Koei  ,,,0.03,0.03,,0.01,0.07
637,Transformer: Rise of the Dark Spark,3DS,2014,Strategy,Activision  ,Way Forward Technologies  ,,,0.05,0.02,,0.01,0.07
638,Vanguard Bandits,PS,2000,Strategy,Working Designs  ,S-Neo  ,6.4,,0.04,0.03,,0.0,0.07
639,Battlezone: Rise of the Black Dogs,N64,2000,Strategy,Crave Entertainment  ,Climax Group  ,7.3,,0.06,0.01,,0.0,0.07
640,Super Robot Taisen OG Saga: Masou Kishin III - Pride of Justice,PS3,2013,Strategy,Namco Bandai Games  ,Banpresto  ,,,,,0.07,,0.07
641,Mobile Suit Gundam: Try Age SP,3DS,2014,Strategy,Namco Bandai Games  ,Bandai Namco Games  ,,,,,0.07,,0.07
642,Real Time Conflict: Shogun Empires,DS,2005,Strategy,Namco  ,Box Clever Interactive  ,,,0.06,,,0.01,0.07
643,San Goku Shi Taisen Ten,DS,2008,Strategy,Sega  ,Sega  ,,,,,0.07,,0.07
644,Dino Master: Dig Discover Duel,DS,2006,Strategy,Majesco  ,Creative Office  ,2.5,,0.06,0.0,,0.0,0.07
645,Army Men: RTS,GC,2004,Strategy,Global Star Software  ,Pandemic Studios  ,6.9,,0.05,0.01,,0.0,0.07
646,Future Tactics: The Uprising,PS2,2004,Strategy,Crave Entertainment  ,Zed Two Limited  ,,,0.03,0.03,,0.01,0.07
647,Nobunaga no Yabou: Tendou with Power-Up Kit,PS3,2011,Strategy,Tecmo Koei  ,Tecmo Koei Games  ,,,,,0.07,,0.07
648,Worms 3D,GC,2004,Strategy,Acclaim Entertainment  ,Team17 Software  ,7.5,,0.05,0.01,,0.0,0.07
649,Worms Forts: Under Siege,XB,2005,Strategy,Sega  ,Team17 Software  ,,,0.05,0.01,,0.0,0.07
650,Full Spectrum Warrior: Ten Hammers,PS2,2006,Strategy,THQ  ,Pandemic Studios  ,5.5,,0.03,0.02,,0.01,0.07
651,Command & Conquer 3: Tiberium Wars,PC,2007,Strategy,Electronic Arts  ,EA Los Angeles  ,,,,0.06,,0.01,0.07
652,"Warhammer 40,000: Squad Command",DS,2007,Strategy,THQ  ,RedLynx  ,,,0.05,0.01,,0.01,0.06
653,Ojyousama Express,PS,1998,Strategy,Media Works  ,MediaWorks  ,,,,,0.06,0.0,0.06
654,Nobunaga's Ambition: Taishi,PS4,2018,Strategy,Koei Tecmo  ,Koei Tecmo Games  ,,,0.01,,0.05,0.0,0.06
655,Super Robot Wars OG Saga Masou Kishin F: Coffin of the End,PS3,2014,Strategy,Namco Bandai Games  ,WinkySoft  ,,,,,0.06,,0.06
